Field=#~Integer~#~50|Field=Designator~String~Designator~204|Field=Part Number~String~Part Number~92|Field=Description~String~Description~92|Field=Value~String~Value~92|Field=Tolerance~String~Tolerance~92|Field=Voltage~String~Voltage~92|Field=Power~String~Power~92|Field=TC~String~TC~92|Field=Manufacturer~String~Manufacturer~92|Field=Manufacturer Part Number~String~Manufacturer Part Number~92|Field=Footprint~String~Footprint~92|Field=Comment~String~Comment~92|Field=Quantity~Integer~Quantity~84|Field=Manufacturer1 ComponentHeight~String~Manufacturer1 ComponentHeight~109|Field=Manufacturer1 Example~String~Manufacturer1 Example~109|Field=Manufacturer1 Part Number~String~Manufacturer1 Part Number~109|Field=Part Description~String~Part Description~109|Field=PressFit~String~PressFit~109|Field=Resistance~String~Resistance~109|Field=SMD~String~SMD~109|Field=Socket~String~Socket~109|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~rtm-damp-dvb.PrjPcb|ReportField=ProjectFullPath~C:\Users\gustavo.bruno\git\rtm-damp-dvb\circuit board\rtm-damp-dvb.PrjPcb|ReportField=Title~Bill of Materials For Project [rtm-damp-dvb.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~16:35:54|ReportField=ReportDate~21/11/2018|ReportField=ReportDateTime~21/11/2018 16:35:54|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~198|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~15cd5883207c77ea8964e233fd52f5d5c15673a4|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~21/11/2018|ReportField=CurrentTime~16:34:02|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\gustavo.bruno\git\rtm-damp-dvb\circuit board\rtm-damp-dvb-ADC-circuit.SchDoc|ReportField=DocumentName~rtm-damp-dvb-ADC-circuit.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~08/11/2018|ReportField=Organization~|ReportField=ProjectName~rtm-damp-dvb.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~rtm-damp-dvb.PrjPcb|ReportField=DataSourceFullPath~C:\Users\gustavo.bruno\git\rtm-damp-dvb\circuit board\rtm-damp-dvb.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
2|C1, C6, C8, C9, C15, C16, C17, C18, C19, C30, C33, C38, C39, C43, C45|CC0805_100NF_50V_10%_X7R|Non-polarised capacitor|100nF|±10%|50V||X7R|GENERIC|CC0805_100NF_50V_10%_X7R|CAPC2012X135N|=Value|15|1mm|TDK|C2012X7R1H104K085AA|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
3|C2, C5, C37, C42, C44, C51|CAE530-540_10UF_35V_20%|Polarised capacitor|10uF|±20%|35V|||PANASONIC|EEEFK1V100AR|CAPAE530X540N|=Value|6||||Aluminum Electrolytic SMT Capacitor|||Yes|No
4|C3|CC0603_220PF_50V_5%_NP0|Non-polarised capacitor|220pF|±5%|50V||C0G/NP0|GENERIC|CC0603_220PF_50V_5%_NP0|CAPC1608X87N|=Value|1|0.87mm|PHYCOMP|223886715221|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
5|C4|CC0603_33NF_25V_10%_X7R|Non-polarised capacitor|33nF|±10%|25V||X7R|GENERIC|CC0603_33NF_25V_10%_X7R|CAPC1608X87N|=Value|1|0.87mm|PHYCOMP|223891615643|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
6|C7|CTE3216-18_1UF_35V_10%_LESR3000|Polarised capacitor|1uF|±10%|35V|||GENERIC|CTE3216-18_1UF_35V_10%_LESR3000|CAPMP3216X180N|=Value|1|1.8mm|AVX|TPSA105K035R3000|Low ESR 3R0 Solid Tantalum Chip Capacitor|||Yes|No
7|C10, C11, C12, C13, C14|CC0805_10UF_25V_10%_X5R|Non-polarised capacitor|10uF|±10%|25V||X5R|GENERIC|CC0805_10UF_25V_10%_X5R|CAPC2012X95N|=Value|5|0.95mm|MURATA|GRM219R61E106KA12D|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
8|C20, C21, C22, C23, C28, C29, C40, C41|CC1206_10UF_25V_10%_X7R|Non-polarised capacitor|10uF|±10%|25V||X7R|GENERIC|CC1206_10uF_25V_10%_X7R|CAPC3216X180N|=Value|8|1.8mm|KEMET|C1206C106K4RACTU|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
9|C24, C25, C26, C27, C46, C47, C48, C49, C50|CTE3528-21_47UF_6.3V_10%_LESR0250|Polarised capacitor|47uF|±10%|6.3V|||GENERIC|CTE3528-21_47UF_6.3V_10%_LESR0250|CAPMP3528X210N|=Value|9|2.1mm|AVX|TPSB476K006R0250|Low ESR 0R25 Solid Tantalum Chip Capacitor|||Yes|No
10|C31, C32, C34, C35|CC0805_47UF_6.3V_20%_X5R|Non-polarised capacitor|47uF|±20%|6.3V||X5R|GENERIC|CC0805_47UF_6.3V_20%_X5R|CAPC2012X140N|=Value|4|1.4mm|KEMET|C0805C476M9PACTU|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
11|C36|CC0805_2.2UF_50V_10%_X7R|Non-polarised capacitor|2.2uF|±10%|50V||X7R|GENERIC|CC0805_2.2UF_50V_10%_X7R|CAPC2012X140N|=Value|1|1.40mm|MURATA|GRM21BR61H225KA73L|SMD Multilayer Chip Ceramic Capacitor|||Yes|No
